146	0	131	4	4	7	3	39	1	5.150326797385621
147	9	223	2	1	7	3	19	2	3.396276595744681
148	48	199	3	5	9	3	49	47	7.14344028858933
149	0	198	4	6	10	3	59	1	8.142201834862385
150	0	105	4	6	10	3	59	1	7.343511450381679
151	0	105	4	5	9	3	49	1	6.801526717557252
152	0	131	4	5	8	3	49	1	6.16969696969697
153	0	111	4	5	8	3	49	1	6.192857142857143
154	0	131	4	5	8	3	49	1	6.186746987951807
155	0	198	4	6	10	3	59	1	8.142201834862385
156	0	198	4	5	10	3	49	2	7.515060240963855
157	0	198	4	6	10	3	59	1	8.144859813084112
158	0	198	4	6	10	3	59	1	8.143518518518519
159	0	198	4	6	10	3	59	1	8.142201834862385
160	0	198	4	6	10	3	59	1	8.142201834862385
161	0	198	4	6	10	3	59	1	8.142201834862385
162	0	198	4	6	10	3	59	1	8.142201834862385
163	0	198	4	6	10	3	59	1	8.142857142857142
164	0	198	4	6	10	3	59	1	8.141552511415526
165	0	198	4	6	10	3	59	1	8.142201834862385
166	0	131	4	5	9	2	49	1	6.289655172413793
167	0	198	4	6	10	3	59	1	8.14977973568282
168	0	198	4	6	10	4	59	1	8.141552511415526
169	0	1	4	5	5	4	0	1	5.0
170	0	198	4	6	11	3	59	2	7.981524249422633
171	0	198	4	6	10	3	59	1	8.141552511415526
172	0	198	4	6	10	3	59	1	8.142857142857142
173	0	198	4	6	10	3	59	1	8.141552511415526
174	0	198	4	6	10	3	59	1	8.142201834862385
175	0	198	4	6	10	3	59	1	8.142201834862385
176	0	198	4	6	10	3	59	1	8.137614678899082
177	0	198	4	6	10	3	59	1	8.141552511415526
178	0	198	4	6	10	3	59	1	8.142201834862385
179	0	198	4	6	10	3	59	1	8.142201834862385
180	0	198	4	4	10	3	39	2	7.008426966292135
181	0	131	4	5	8	3	49	1	6.052631578947368
182	0	198	4	6	10	3	59	1	8.142857142857142
183	0	198	4	4	10	3	39	2	7.094674556213017
184	0	198	4	6	10	3	59	1	8.142201834862385
185	0	198	4	6	10	3	59	1	8.141552511415526
186	0	204	4	2	10	3	59	1	6.413043478260869
187	0	198	4	6	10	3	59	1	8.142857142857142
188	0	198	4	6	10	3	59	1	8.142857142857142
189	0	198	4	6	10	3	59	1	8.141552511415526
190	0	198	4	6	10	4	59	1	8.142201834862385
191	0	198	4	6	10	3	59	1	8.142857142857142
192	0	198	4	6	10	3	59	1	8.141552511415526
193	0	198	4	6	10	3	59	1	8.181818181818182
194	0	198	4	6	10	3	59	1	8.144186046511628
195	0	198	4	6	10	3	59	1	8.137614678899082
196	0	198	4	6	10	3	59	1	8.137614678899082
197	0	198	4	6	10	3	59	1	8.137614678899082
198	0	198	4	6	10	3	59	1	8.137614678899082
199	0	198	4	6	10	3	59	1	8.137614678899082
200	11	226	3	3	8	3	39	4	5.154743390357698
201	0	198	4	4	10	3	39	2	7.114114114114114
202	0	198	4	6	10	3	59	1	8.137614678899082
203	0	198	4	6	10	3	59	1	8.142857142857142
204	0	198	4	6	10	3	59	1	8.137614678899082
